year,brand,title,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count
2007,Coca-Cola,Coca-Cola Happiness Factory commercial HD,https://www.youtube.com/watch?v=NwZpO6saPxI,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,11311,29,3,1
2007,Budweiser,2014 Super Bowl Commercial Budweiser Dalmatian - 2007 Super Bowl Commercial TVC,https://www.youtube.com/watch?v=esOPYOeotTU,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,48035,47,2,1
2013,Doritos,Fashionista Daddy - Doritos Commercial,https://www.youtube.com/watch?v=w_2k5LMeduc,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1404745,2491,359,NA
2010,Bud Light,t-pain bud light superbowl 44 commercial hd,https://www.youtube.com/watch?v=bDhjcP02GQg,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,34565,100,6,15
2009,Doritos,Power of the Crunch,https://www.youtube.com/watch?v=7DZao4kN73M,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,640393,1921,215,208
2009,Coca-Cola,Mean Troy - Coke Zero Super Bowl Ad,https://www.youtube.com/watch?v=XKFUcEkIbEg,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,45799,99,7,21
2009,Pepsi,Pepsi Super Bowl 2009 Commercial: Anthem,https://www.youtube.com/watch?v=WIzKwJmYLNs,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1294,7,0,2
2001,E-Trade,E-Trade Chimp On a Horse TV Commercial,https://www.youtube.com/watch?v=ONZFkqzuMjI,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,103433,167,7,3
2018,Bud Light,Bud Light | Battle Pep Talk Dilly Dilly,https://www.youtube.com/watch?v=xza7T89Lda4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,41441,224,7,9
2015,Doritos,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
2010,Kia,Kia - Big Game (2010 Super bowl Ad),https://www.youtube.com/watch?v=7q2yVq6fDEg,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,50850,92,4,11
2008,Doritos,"Funny Super Bowl Commercial 2008 - Doritos: ""Mouse Trap""",https://www.youtube.com/watch?v=h8qgk5tXuUA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,232124,988,31,96
2012,Coca-Cola,"Coke 2012 Commercial - Coca-Cola Open Happiness - ""Superstition""",https://www.youtube.com/watch?v=x1nttVdja9s,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,10925,71,18,3
2011,Hynudai,"Hyundai ""Deprogramming""",https://www.youtube.com/watch?v=32d5c_IW2Xc,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,92,1,0,0
2008,Coca-Cola,Coca-Cola: Political Parties (Super Bowl 42 Commercial),https://www.youtube.com/watch?v=2_LWZe2BGaE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,14267,36,2,7
2000,Bud Light,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA
2019,Kia,2019 Super Bowl Kia Telluride,https://www.youtube.com/watch?v=sS8dkRhDirY,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1460,NA,NA,NA
2002,Bud Light,Bud Light - Satin Sheets,https://www.youtube.com/watch?v=-LwSb4cCAnw,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,67452,270,15,7
2013,Kia,"KIA SORENTO ""SPACE BABIES""",https://www.youtube.com/watch?v=k5vbGQb7jR0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,10338,39,2,1
2008,Pepsi,Justin Timberlake Pepsi Ad,https://www.youtube.com/watch?v=AKKM8sP24BE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,236941,594,14,65
2019,Bud Light,NA,https://www.youtube.com/watch?v=eIlX0Gg0GRI,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA
2011,Hynudai,Hyundai - Anachronistic City.mp4,https://www.youtube.com/watch?v=-BVMOKtawUk,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,0,0,0
2008,Bud Light,Bud Light Language of Love Commercial,https://www.youtube.com/watch?v=Ao0x4zsb724,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,729583,588,180,119
2008,Bud Light,Bud Light Jackie Moon TV Commercial,https://www.youtube.com/watch?v=ecqiZn2DDFQ,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1060001,1384,121,180
2010,E-Trade,E-Trade Baby Girlfriend Super Bowl Commercial 2010,https://www.youtube.com/watch?v=tbLTl7egwlU,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1046640,1206,58,204
2013,Budweiser,Budweiser Black Crown - Celebration - Super Bowl 2013 Ads,https://www.youtube.com/watch?v=2WNvlXoDs7w,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,236,1,0,0
2001,Pepsi,funny pepsi commercial,https://www.youtube.com/watch?v=MwfL-DkL1Vg,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,65162,109,4,38
2018,Coca-Cola,"Diet Coke Twisted Mango Super Bowl 2018 TV Commercial, 'Groove' Ft  Hayley Magnus",https://www.youtube.com/watch?v=nkGd47iB-wU,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,179,1,0,0
2003,Bud Light,Bud Light commercial - upside down clown,https://www.youtube.com/watch?v=DTvxyDwP2CA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,177285,229,10,32
2011,Pepsi,PEPSI MAX - LOVE HURTS,https://www.youtube.com/watch?v=r4eyQBvcBUA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,204026,476,159,9
